Rank,Symbol,price,dma50,dma150,dma200,dma200_rising,avg_vol,vol_ratio,turnover_cr,high_52w,low_52w,pct_from_high,rs_raw,score_rs,score_vol,score_earn,score_tech,Score
1,VENUSREM,1610.7,1062.0739999999998,836.3543333333333,741.7852499999999,True,84696.46,5.43784238443968,13.6420588122,1695.4,425.8,0.04995871180842282,108.89695869269178,92.85714285714286,96.42857142857143,50.0,100.0,86.43
2,MAYURUNIQ,798.85,615.424,550.0993333333333,541.85275,True,292662.66,3.846589107062719,23.3793565941,798.85,477.9,0.0,58.09420146447655,85.71428571428571,92.85714285714286,50.0,85.71428571428571,80.0
3,GVPIL,905.5,617.703,444.9726666666666,419.24425,True,300784.8,1.9408660278045966,27.236063639999998,907.55,272.65,0.002258828714671318,160.8758282915586,100.0,42.857142857142854,50.0,97.14285714285715,78.0
4,DATAPATTNS,4558.5,3793.86,3140.597333333333,3023.9080000000004,True,1272367.88,3.2440484115333064,580.0088980979999,4558.5,2182.5,0.0,57.815475160117714,82.14285714285714,78.57142857142857,50.0,88.57142857142857,76.29
5,SILVERTUC,185.98,144.985,123.09333333333333,110.27410000000002,True,380337.94,1.7894454600032803,7.073525008120001,187.77,68.08,0.009532939234169572,145.77771904321395,96.42857142857143,32.142857142857146,50.0,94.28571428571429,73.86
6,NRBBEARING,438.95,310.4398,284.5996,283.72745000000003,True,1067704.44,3.327070551472091,46.866886393799994,438.95,216.2,0.0,51.28381871445804,71.42857142857143,82.14285714285714,50.0,91.42857142857143,73.29
7,PARAS,1039.15,781.405,710.8073333333333,706.725,True,2326285.74,3.6479340667754765,241.73598267210008,1039.15,584.6,0.0,48.854032373585454,64.28571428571429,89.28571428571429,50.0,82.85714285714286,70.14
8,GULPOLY,214.95,179.53959999999998,156.40646666666666,156.07215,True,511629.6,2.257844346769616,10.997478251999999,214.95,125.32,0.0,54.15232358003441,75.0,57.14285714285714,50.0,74.28571428571429,66.29
9,J&KBANK,156.98,131.8412,114.99786666666667,112.14685,True,5037922.92,2.043309745596505,79.08531399815999,156.98,98.09,0.0,50.71044546850998,67.85714285714286,53.57142857142857,50.0,80.0,63.86
10,BELRISE,234.73,210.4668,184.59213333333332,175.82845,True,4883318.18,7.2899140887026945,114.62612763913998,234.73,92.03,0.0,40.64110245656081,50.0,100.0,50.0,60.0,62.0
11,KRISHNADEF,1240.8,1058.5249999999999,946.8030000000001,909.2385,True,149914.92,1.569990498610812,18.6014432736,1281.1,673.2,0.03145734134727965,63.22020520915548,89.28571428571429,10.714285714285714,50.0,65.71428571428572,61.0
12,CEIGALL,366.4,326.041,284.2974666666667,278.51385,True,632464.34,1.8968215662562098,23.173493417599996,376.8,226.39,0.027600849256900303,54.80817982085515,78.57142857142857,35.714285714285715,50.0,57.142857142857146,60.0
13,ABSLAMC,1062.4,1017.6030000000001,881.6720000000001,870.4665,True,433576.5,2.2991813440073434,46.06316736,1088.6,716.95,0.024067609774021514,46.91281200304227,57.14285714285714,60.71428571428571,50.0,42.85714285714286,53.57
14,INOXINDIA,1686.7,1432.7980000000002,1244.174,1227.824,True,312237.16,1.9027683956643726,52.665041777199995,1686.7,1071.8,0.0,45.782195332757134,53.57142857142857,39.285714285714285,50.0,68.57142857142857,53.0
15,NLCINDIA,327.75,314.114,273.84813333333335,269.59985,True,7523990.82,3.372993216916232,246.59879912550002,370.9,222.11,0.11633863575087619,36.63081540770386,39.285714285714285,85.71428571428571,50.0,40.0,50.86
16,MAHABANK,83.97,76.06559999999999,67.1216,64.2714,True,21589562.54,1.7574154608136865,181.28755664838,85.31,51.95,0.01570741999765565,48.2521186440678,60.71428571428571,28.57142857142857,50.0,54.285714285714285,50.86
17,MARKSANS,252.75,198.97259999999997,186.21766666666667,183.21429999999998,False,2894636.32,2.3498088353980164,73.161932988,263.55,156.89,0.04097894137734779,32.8864353312303,35.714285714285715,64.28571428571429,50.0,57.142857142857146,48.57
18,SOUTHWEST,260.15,238.657,206.80113333333333,188.956,True,456878.84,2.0387462023848597,11.8857030226,269.13,122.29,0.03336677442128346,27.02016503100433,28.57142857142857,50.0,50.0,71.42857142857144,45.71
19,THYROCARE,547.95,439.325,436.43186666666674,432.05244999999996,True,590398.64,2.3868669480674956,32.3508934788,547.95,317.6,0.0,26.415964932518186,25.0,67.85714285714286,50.0,48.57142857142857,43.29
20,SENORES,1094.5,940.2919999999999,841.686,809.8430000000001,True,450188.74,1.5295096007954352,49.273157593,1155.15,515.4,0.052504003809029205,39.329132454967876,46.42857142857143,3.571428571428571,50.0,62.85714285714286,41.86
21,ASTERDM,790.35,713.559,656.3323333333333,654.21775,True,896916.44,2.5896860581572128,70.8877908354,790.35,537.95,0.0,20.581280036616057,17.857142857142858,75.0,50.0,34.285714285714285,39.0
22,NETWEB,4428.2,3888.414,3497.07,3432.081,True,1818116.42,1.5428137434675389,805.0983131044,4934.2,1721.6,0.10254955210571116,37.907194020554336,42.857142857142854,7.142857142857142,50.0,51.42857142857143,38.86
23,AKUMS,548.25,526.085,475.055,472.1785,True,229382.68,1.6918278223970529,12.575905431,594.0,414.05,0.07702020202020202,30.272068432933352,32.142857142857146,25.0,50.0,28.57142857142857,33.57
24,VIYASH,257.4,220.65220000000002,213.8312,208.31285,True,2019784.7,1.6689219400463822,51.989258178,261.94,168.04,0.017332213484004048,21.055354371443347,21.428571428571427,21.428571428571427,50.0,45.71428571428572,32.0
25,DIVISLAB,6753.0,6448.29,6381.06,6325.455,True,356255.98,2.5604594763574218,240.579663294,6983.5,5689.5,0.03300637216295554,4.616576297443853,3.571428571428571,71.42857142857143,50.0,22.857142857142858,30.29
26,CCL,1149.1,1101.728,1025.4083333333333,988.0915000000001,True,409271.78,1.9509896333433983,47.0294202398,1207.8,786.25,0.048600761715515854,14.955982392957168,7.142857142857142,46.42857142857143,50.0,31.42857142857143,28.43
27,EQUITASBNK,74.98,66.0038,64.16106666666667,61.98609999999999,True,4555868.02,1.6433577459076614,34.15989841396,74.98,50.27,0.0,19.20508744038156,14.285714285714285,14.285714285714285,50.0,37.14285714285714,26.0
28,AJANTPHARM,3017.2,2932.248,2810.4006666666664,2735.6805000000004,True,120770.5,1.6481342712003346,36.438875259999996,3259.2,2388.4,0.0742513500245459,15.747880461886687,10.714285714285714,17.857142857142858,50.0,25.714285714285715,23.0
